real_river,river_name,Outflow_lat,Outflow_lon,Regine,Regine_to_sea,Vassom,Vassom_area_land,Vassom_area_tot,Andre_MCA_area,Andre_area_q,Overestimate (%),Comment
1,Göta älv,,,,,,,,,,,
2,Bäveån,,,,,,,,,,,
3,Örekilsälven,,,,,,,,,,,
4,Strömsån,,,,,,,,,,,
5,Enningdalsälv,,,,,,,,,,,
6,Tista,59.119,11.37,001.A1,001.A1,001.,2495,2507,2507,1584,0,
7,Glomma,59.206,10.953,002.A51,002.A11,002.,42446,43116,43116,41967,2,Monitoring point upstream of Sarpsborg RA. So important to move regine
8,Mosseelva,59.439,10.662,003.A1,003.A1,003.,854,1052,1054,694,23,
9,Hølenelva,59.523,10.69,004.A0,004.A0,004.,204,227,,,11,
10,Årungen ,59.72,10.728,005.3A,005.3A,005.,280,368,144,85,31,
11,Akerselva,59.908,10.756,006.A10,006.A10,006.,392,415,415,307,6,
12,Lysakerelva,59.914,10.64,007.A0,007.A0,007.,202,211,211,177,4,
13,Sandvikselva,59.89,10.523,008.A11,008.A11,008.,279,311,311,226,11,
14,Åros,59.704,10.519,009.A0,009.A0,009.,215,253,,,18,
15,Tofteelva,59.547,10.568,010.2Z,010.2Z,010.,114,191,,,68,One model river with 16
16,Sageneelva,59.533,10.53,010.3A,010.3A,010.,114,191,,,68,One model river with 15
17,Lierelva,59.751,10.285,011.A0,011.A0,011.,360,396,,,10,
18,Drammenselva,59.732,10.235,012.A3,012.A10,012.,17180,17209,17209,17108,0,"Monitoring point at Mjøndalen bru, U/S of RA input from Mjøndalen RA"
19,Sandeelva,59.572,10.243,013.A0,013.A0,013.,365,546,,,50,Name was Gunnestad
20,Aulielva,59.278,10.379,014.A0,014.A0,014.,595,1114,,,87,
21,Numedalslågen,59.047,10.068,015.A1,015.A1,015.,6275,6515,6515,5548,4,
22,Skienselva,59.135,9.629,016.A11,016.A11,016.,11279,11384,11384,10808,1,
23,Kammerfosselva,58.867,9.354,017.A1,017.A1,017.,1580,1821,1821,1238,15,
24,Storelva,58.669,8.98,018.A,018.A,018.,1281,1517,1517,407,18,
25,Nidelva,58.433,8.71,019.A11,019.A11,019.,4210,4393,,,4,
26,Tovdalselva,58.195,8.078,020.A11,020.A11,020.,2186,2407,2407,1869,10,
27,Otra,58.144,8.013,021.A11,021.A11,021.,3878,3946,,,2,
28,Mandalselva,58.021,7.457,022.A11,022.A11,022.,2335,2575,2575,1816,10,
29,Audna,58.056,7.28,023.A11,023.A11,023.,540,733,733,455,36,
30,Lygna,58.142,7.049,024.A0,024.A0,024.,1146,1399,1399,664,22,
31,Kvina,58.272,6.89,025.A0,025.A0,025.,,,,,,
32,Klostergrøften,58.291,6.438,026.A,026.A,026.,,,,,,
33,Liver å,,,,,027.,,,,,,
34,Uggerby å,,,,,028.,,,,,,
35,Knasborg å,,,,,029.,,,,,,
36,,,,,,030.,,,,,,
37,,,,,,031.,,,,,,
38,,,,,,032.,,,,,,
39,,,,,,033.,,,,,,
