Scenario,Område,Kilde,Parameter,Verdi (tonn)
Baseline,001,Bakgrunn,DIN,106.2931811720468
Baseline,001,Bakgrunn,SS,404.17736061263923
Baseline,001,Bakgrunn,TDP,0.7873512587935778
Baseline,001,Bakgrunn,TOC,7407.268112541893
Baseline,001,Bakgrunn,TON,221.98540177401068
Baseline,001,Bakgrunn,TOTN,328.2785829460575
Baseline,001,Bakgrunn,TOTP,2.209071683201332
Baseline,001,Bakgrunn,TPP,1.4217204244077541
Baseline,001,Bebygd,DIN,14.765713852784456
Baseline,001,Bebygd,SS,358.2546228594192
Baseline,001,Bebygd,TDP,1.0118045894307148
Baseline,001,Bebygd,TOC,64.74298034254376
Baseline,001,Bebygd,TON,7.482436320640683
Baseline,001,Bebygd,TOTN,22.24815017342514
Baseline,001,Bebygd,TOTP,1.443960596893879
Baseline,001,Bebygd,TPP,0.43215600746316446
Baseline,001,Industri,DIN,22.8818
Baseline,001,Industri,SS,367.6666666666667
Baseline,001,Industri,TDP,4.035
Baseline,001,Industri,TOC,604.6666666666666
Baseline,001,Industri,TON,53.39086666666666
Baseline,001,Industri,TOTN,76.27266666666667
Baseline,001,Industri,TOTP,8.07
Baseline,001,Industri,TPP,4.035
Baseline,001,Jordbruk,DIN,378.8938467804558
Baseline,001,Jordbruk,SS,2402.3553857674124
Baseline,001,Jordbruk,TDP,3.518207623757912
Baseline,001,Jordbruk,TOC,5.779084660945827
Baseline,001,Jordbruk,TON,124.65906997021852
Baseline,001,Jordbruk,TOTN,503.55291675067434
Baseline,001,Jordbruk,TOTP,7.390745511417808
Baseline,001,Jordbruk,TPP,3.8725378876598953
Baseline,001,Kommunalt avløp,DIN,115.75479859933148
Baseline,001,Kommunalt avløp,SS,127.69551832497552
Baseline,001,Kommunalt avløp,TDP,0.3021824054117205
Baseline,001,Kommunalt avløp,TOC,100.7653933968853
Baseline,001,Kommunalt avløp,TON,16.620968785924514
Baseline,001,Kommunalt avløp,TOTN,132.375767385256
Baseline,001,Kommunalt avløp,TOTP,1.7199503485339662
Baseline,001,Kommunalt avløp,TPP,1.4177679431222459
Baseline,001,Spredt avløp,DIN,13.181853421124265
Baseline,001,Spredt avløp,SS,14.110484557194189
Baseline,001,Spredt avløp,TDP,0.6255047219512344
Baseline,001,Spredt avløp,TOC,34.15090054660423
Baseline,001,Spredt avløp,TON,3.8353781926041286
Baseline,001,Spredt avløp,TOTN,17.017231613728395
Baseline,001,Spredt avløp,TOTP,0.9057538070294519
Baseline,001,Spredt avløp,TPP,0.2802490850782174
Baseline,002,Bakgrunn,DIN,1663.752438237736
Baseline,002,Bakgrunn,SS,14538.535523266159
Baseline,002,Bakgrunn,TDP,26.670666063927147
Baseline,002,Bakgrunn,TOC,98046.34774300722
Baseline,002,Bakgrunn,TON,3705.056317569743
Baseline,002,Bakgrunn,TOTN,5368.808755807479
Baseline,002,Bakgrunn,TOTP,61.661265844571744
Baseline,002,Bakgrunn,TPP,34.99059978064458
Baseline,002,Bebygd,DIN,310.52599955872284
Baseline,002,Bebygd,SS,4861.890239619398
Baseline,002,Bebygd,TDP,19.428332829192204
Baseline,002,Bebygd,TOC,1278.1808399372005
Baseline,002,Bebygd,TON,147.00964712759298
Baseline,002,Bebygd,TOTN,457.5356466863159
Baseline,002,Bebygd,TOTP,25.121004005316724
Baseline,002,Bebygd,TPP,5.69267117612452
Baseline,002,Industri,DIN,47.80296959223284
Baseline,002,Industri,SS,264.1970611979394
Baseline,002,Industri,TDP,6.056703470019111
Baseline,002,Industri,TOC,4575.474829404098
Baseline,002,Industri,TON,133.34020113264083
Baseline,002,Industri,TOTN,181.14317072487367
Baseline,002,Industri,TOTP,11.92206844439565
Baseline,002,Industri,TPP,5.865364974376541
Baseline,002,Jordbruk,DIN,6430.133929545803
Baseline,002,Jordbruk,SS,147122.69747890698
Baseline,002,Jordbruk,TDP,64.50772106041735
Baseline,002,Jordbruk,TOC,2457.450459942653
Baseline,002,Jordbruk,TON,1865.2870974971527
Baseline,002,Jordbruk,TOTN,8295.421027042956
Baseline,002,Jordbruk,TOTP,253.305075079241
Baseline,002,Jordbruk,TPP,188.79735401882363
Baseline,002,Kommunalt avløp,DIN,1932.8049826118925
Baseline,002,Kommunalt avløp,SS,1073.8201250703046
Baseline,002,Kommunalt avløp,TDP,8.334942848298182
Baseline,002,Kommunalt avløp,TOC,2088.7810221070436
Baseline,002,Kommunalt avløp,TON,531.4621807979411
Baseline,002,Kommunalt avløp,TOTN,2464.2671634098338
Baseline,002,Kommunalt avløp,TOTP,25.560875586324062
Baseline,002,Kommunalt avløp,TPP,17.225932738025886
Baseline,002,Spredt avløp,DIN,251.9225965766129
Baseline,002,Spredt avløp,SS,314.16954610131705
Baseline,002,Spredt avløp,TDP,13.347269816595393
Baseline,002,Spredt avløp,TOC,736.0152379629232
Baseline,002,Spredt avløp,TON,70.20754442458876
Baseline,002,Spredt avløp,TOTN,322.1301410012017
Baseline,002,Spredt avløp,TOTP,20.099508412240862
Baseline,002,Spredt avløp,TPP,6.752238595645468
Baseline,003,Bakgrunn,DIN,69.32228469036464
Baseline,003,Bakgrunn,SS,332.31262755116063
Baseline,003,Bakgrunn,TDP,0.4713268820014364
Baseline,003,Bakgrunn,TOC,3938.4764132882374
