,scaled_riv_plus_direct_wwtw_sum_tonnes,vassområde_sum_tonnes,diff_tonnes,diff_percent
agriculture-background,1399.5736005877613,1453.9054955602223,-54.33189497246099,-3.736961937235521
agriculture,12596.162405289846,13085.149460041994,-488.9870547521485,-3.73696193723552
aquaculture,0.0,0.0,0.0,
industry,25.64649877360113,117.49779877360115,-91.85130000000001,-78.17278362548927
lake,535.10061124406,516.496158040433,18.604453203627042,3.602050647232622
large-wastewater,4656.841672093712,4895.481420862201,-230.99024876848952,-4.71843785953552
spredt,494.57144050950103,507.9023970409221,-13.330956531421007,-2.624708331578699
upland,281.0136342034595,278.80474449311197,2.2088897103475005,0.7922712055576487
urban,538.711039890631,741.9722969266694,-203.26125703603836,-27.39472320974365
wood,786.0399351013,787.5563430620206,-1.5164079607204877,-0.1925459650067309
total,21313.66083769387,22384.766114801176,-1071.105277107304,-4.784974172229887
