real_river,agriculture-background,agriculture,aquaculture,industry,lake,large-wastewater,spredt,upland,urban,wood,name
6,0.07018930958934551,0.6317037863041095,0.0,0.04666456166941234,0.08455386648635609,0.049578392998854914,0.03226338256605025,0.003009618977189687,0.02574834122267073,0.0562887401860109,Tista
7,0.06977238987324881,0.6279515088592393,0.0,0.00031377340410994645,0.030246104774382637,0.14380671602498535,0.030944769215487705,0.021609171287528536,0.028335721681474715,0.0470198448795428,Glomma
8,0.08065710979602579,0.7259139881642321,0.0,0.0,0.05184437213045192,0.018001353976958054,0.027548107822408203,0.0009541978629374263,0.04713599485018012,0.04794487539680652,Mosseelva
9,0.08832439983981943,0.7949195985583752,0.0,0.0,0.0006252476788166298,0.014322616501813889,0.0369513613786846,0.0003097809708187995,0.04395692322675735,0.02059007184491419,Hølenelva
10,0.09159844605382439,0.8243860144844195,0.0,0.0,0.007756182254101425,0.005501828827598246,0.02471889843593797,0.00012782279868177004,0.0390542814122516,0.006856525733184925,Årungen 
11,0.01706013269380607,0.1535411942442546,0.0,0.0,0.1448015766825792,0.0005168487460866027,0.016072701483613828,0.002333780628472906,0.4494653450329975,0.21620842048818945,Akerselva
12,0.036452759379309245,0.3280748344137834,0.0,0.0,0.06455554108398505,0.00037536532283241006,0.02581067904722409,0.004470212205501566,0.23650560642201224,0.3037550021253518,Lysakerelva
13,0.05104982950743555,0.45944846556692004,0.0,2.6398646833134804e-06,0.01617120337729415,0.0050034675275182055,0.03205036642576491,0.00230399342763368,0.29867684707223946,0.13529318723051073,Sandvikselva
14,0.07319203193540302,0.6587282874186274,0.0,0.0,0.012466600722036605,0.0,0.06539972360255569,0.0004226070983297039,0.13158408606291871,0.058206663160128666,Åros
15,0.03834316305117865,0.34508846746060773,0.0,0.0,0.22491611759505542,0.0,0.020686526179937575,0.00160092571488259,0.122688364585314,0.246676435413024,Tofteelva
16,0.08191143605019752,0.7372029244517776,0.0,0.0,0.04197683088516261,0.0,0.04814408680650841,0.0002510340106043337,0.029836560165258715,0.06067712763049094,Sageneelva
17,0.0729563670793163,0.6566073037138466,0.0,0.0009141555933191762,0.02474193850637171,0.019871614822808924,0.0525185296435025,0.0011919812875320597,0.07338667728829683,0.09781143206500591,Lierelva
18,0.06374248243048285,0.5736823418743455,0.0,0.0007239655189529077,0.06778736202632887,0.12261041339597498,0.043881211718322245,0.023136954857625642,0.03618878173108145,0.06824648644688562,Drammenselva
19,0.08380130801224978,0.7542117721102479,0.0,0.0,0.007907079755998539,0.0,0.04448272879660648,0.0008161332445823231,0.0518509276700435,0.05693005041027156,Sandeelva
20,0.08926119191018668,0.8033507271916801,0.0,0.0,0.002792129495645494,0.029628842351976242,0.025706960487802646,0.00026179226782251477,0.02616218899099743,0.022836167303889043,Aulielva
21,0.06360222702839476,0.5724200432555528,0.0,1.3579365903057144e-06,0.04575660685393895,0.10746746147880501,0.0414828673343519,0.018232276639179753,0.03729317111360251,0.11374398835958384,Numedalslågen
22,0.045793333455762086,0.4121400011018585,0.0,7.620898330567712e-09,0.10393854357163587,0.11661011036263697,0.04193169499589757,0.053430560001937424,0.05941503590486355,0.16674071298450957,Skienselva
23,0.02404727222986348,0.2164254500687714,0.0,0.002228022099432474,0.17534177879225288,0.03641425090746639,0.04060864649509693,0.018137664758287275,0.03937502599807576,0.44742188865075333,Kammerfosselva
Total,0.0672352917712051,0.6051176259408457,0.0,0.0013859652908707527,0.04398752714016529,0.12157316237384674,0.03467732444536305,0.021699821161889447,0.036601996612909735,0.06772128526290416,Total
