,baseline,scenario,f,1-f
6.0,429.17,386.25,0.899993009763031,0.10000699023696902
7.0,5244.66,4720.19,0.8999992373194831,0.10000076268051694
8.0,248.15,223.34,0.9000201491033649,0.09997985089663508
9.0,156.78,141.1,0.8999872432708254,0.10001275672917465
10.0,123.64,111.27,0.8999514720155289,0.10004852798447106
11.0,6.87,6.18,0.8995633187772926,0.10043668122270744
12.0,9.77,8.8,0.9007164790174003,0.09928352098259974
13.0,40.82,36.74,0.9000489955903969,0.09995100440960314
14.0,204.82,184.34,0.9000097646714188,0.0999902353285812
15.0,11.49,10.35,0.9007832898172323,0.09921671018276768
16.0,3.46,3.11,0.8988439306358381,0.10115606936416188
17.0,116.99,105.29,0.8999914522608771,0.10000854773912293
18.0,1833.46,1650.12,0.9000032725011726,0.09999672749882738
19.0,75.56,68.0,0.899947061937533,0.10005293806246696
20.0,974.44,876.99,0.8999938426172981,0.10000615738270191
21.0,587.85,529.07,0.9000085055711492,0.0999914944288508
22.0,541.68,487.51,0.8999963077831931,0.10000369221680694
23.0,44.9,40.41,0.8999999999999999,0.10000000000000009
agriculture,10654.51,9589.06,0.9000000938569676,0.09999990614303245
