Vassom,Q,TOTN_bsl,DIN_bsl,Area_km2,TOTN_realistic,pc_TOTN_reduction,TOTN_mitigated_Tpyr,TOTN_bsl_kgPerKm2,TOTN_realistic_kgPerKm2,DIN_realistic,pc_DIN_reduction,DIN_mitigated_Tpyr,DIN_bsl_kgPerKm2,DIN_realistic_kgPerKm2,Vassom_name
001.,1160.16,1123.58,680.32,2495.0,1054.67,6,68.91,450.33,42331.31,611.41,10,68.91,272.67,24540.62,Tista
002.,22291.31,13539.17,9001.96,42446.0,11623.25,14,1915.92,318.97,27431.76,7117.1,20,1884.86,212.08,16966.42,Glomma
003.,501.77,835.25,602.57,854.0,595.75,28,239.49,978.04,70418.8,376.34,37,226.23,705.58,44451.74,Mosseelva
004.,101.07,349.46,248.15,204.0,286.97,17,62.48,1713.03,142181.67,188.53,24,59.62,1216.43,92448.49,Hølenelva
005.,78.46,291.18,199.13,280.0,253.29,13,37.89,1039.93,90473.55,161.05,19,38.08,711.18,57605.48,Årungen 
006.,206.99,477.86,301.93,392.0,398.95,16,78.91,1219.02,102397.99,284.8,5,17.13,770.22,73170.75,Akerselva
007.,154.33,93.81,42.21,202.0,92.82,1,0.99,464.41,45976.52,41.22,2,0.99,208.95,20477.3,Lysakerelva
008.,169.17,134.57,88.85,279.0,130.15,3,4.43,482.34,46786.74,84.42,4,4.43,318.45,30571.09,Sandvikselva
009.,307.46,1658.47,1334.6,215.0,1189.73,28,468.74,7713.81,555394.17,857.68,35,476.92,6207.43,403482.8,Åros
010.,79.72,74.39,63.96,114.0,71.63,3,2.76,652.56,63298.07,61.2,4,2.76,561.04,53860.0,Tofteelva
011.,235.22,375.67,262.78,360.0,295.51,21,80.16,1043.52,82437.76,185.37,29,77.42,729.95,51826.33,Lierelva
012.,11052.02,5066.02,3509.43,17180.0,4324.44,14,741.58,294.88,25359.58,2789.22,20,720.21,204.27,16341.92,Drammenselva
013.,225.36,303.88,234.74,365.0,189.86,37,114.02,832.55,52450.87,127.11,45,107.63,643.12,35371.79,Sandeelva
014.,496.06,1756.28,1469.86,595.0,1418.01,19,338.27,2951.74,239090.63,1149.39,21,320.47,2470.35,195157.55,Aulielva
015.,4191.49,2143.79,1341.69,6275.0,1740.45,18,403.34,341.64,28014.45,952.22,29,389.47,213.82,15180.89,Numedalslågen
016.,9346.1,2745.04,1585.71,11279.0,2387.63,13,357.41,243.38,21173.75,1238.86,21,346.85,140.59,11106.58,Skienselva
017.,1487.62,545.28,211.65,1580.0,534.98,1,10.3,345.12,34166.58,201.35,4,10.3,133.96,12859.91,Kammerfosselva
Enningdalsälv,470.56,387.59,233.92,810.0,276.51,28,111.08,478.51,34452.57,130.05,44,103.86,288.78,16171.95,Enningdalsälv
Strömsån,30.45,27.05,11.51,467.0,27.05,0,0.0,57.92,5791.99,11.51,0,0.0,24.65,2465.06,Strömsån
