,scaled_riv_plus_direct_wwtw_sum_tonnes,vassområde_sum_tonnes,diff_tonnes,diff_percent
agriculture-background,1058.3647910126233,1106.6399437656712,-48.27515275304787,-4.3623179359293065
agriculture,9525.28311911361,9959.759493891042,-434.47637477743206,-4.362317935929319
aquaculture,0.0,0.01108,-0.01108,-99.99999999999999
industry,31.44628334261824,107.7879050435247,-76.34162170090649,-70.82577740988637
lake,542.1325471472121,523.2710145750408,18.861532572171434,3.6045437348539693
large-wastewater,4593.938512818931,4859.425494142815,-265.4869813238853,-5.463340916408396
spredt,498.67817111781056,513.5522627602068,-14.874091642396115,-2.8963150824128068
upland,264.3631727681017,262.3418595489232,2.0213132191784924,0.7704882562980937
urban,536.5448534577541,753.7633296464919,-217.21847618873784,-28.817862005917867
wood,761.1628591806441,761.0358012674113,0.1270579132328339,0.016695392387747674
total,17811.914309959306,18847.588184641125,-1035.6738746818207,-5.494994184591692
