real_river,agriculture-background,agriculture,aquaculture,industry,lake,large-wastewater,spredt,upland,urban,wood,total
6,25.37,228.37,0.0,16.87,30.57,17.92,11.66,1.09,9.31,20.35,361.52
7,651.09,5859.82,0.0,2.93,282.25,1341.95,288.77,201.65,264.42,438.77,9331.64
8,18.71,168.41,0.0,0.0,12.03,4.18,6.39,0.22,10.94,11.12,232.0
9,14.45,130.02,0.0,0.0,0.1,2.34,6.04,0.05,7.19,3.37,163.57
10,5.47,49.26,0.0,0.0,0.46,0.33,1.48,0.01,2.33,0.41,59.75
11,0.64,5.75,0.0,0.0,5.42,0.02,0.6,0.09,16.83,8.1,37.45
12,1.28,11.54,0.0,0.0,2.27,0.01,0.91,0.16,8.32,10.69,35.18
13,3.87,34.81,0.0,0.0,1.23,0.38,2.43,0.17,22.63,10.25,75.76
14,4.62,41.56,0.0,0.0,0.79,0.0,4.13,0.03,8.3,3.67,63.09
15,0.06,0.52,0.0,0.0,0.34,0.0,0.03,0.0,0.18,0.37,1.51
16,1.05,9.44,0.0,0.0,0.54,0.0,0.62,0.0,0.38,0.78,12.81
17,9.26,83.32,0.0,0.12,3.14,2.52,6.66,0.15,9.31,12.41,126.89
18,152.39,1371.47,0.0,1.73,162.06,293.12,104.9,55.31,86.51,163.15,2390.64
19,10.79,97.14,0.0,0.0,1.02,0.0,5.73,0.11,6.68,7.33,128.79
20,47.67,429.05,0.0,0.0,1.49,15.82,13.73,0.14,13.97,12.2,534.07
