real_river,agriculture-background,agriculture,aquaculture,industry,lake,large-wastewater,spredt,upland,urban,wood,total
6,41.79,376.11,0.0,16.87,35.27,111.62,16.68,1.58,15.28,28.89,644.1
7,699.59,6296.31,0.0,43.64,288.88,1834.74,299.17,203.14,305.81,450.89,10422.17
8,42.51,382.6,0.0,0.0,12.08,210.44,10.3,0.37,27.83,14.2,700.33
9,21.54,193.84,0.01,0.0,0.13,124.33,10.04,0.08,13.62,4.94,368.53
10,12.17,109.55,0.0,0.0,2.26,66.85,12.24,0.06,19.69,5.81,228.64
11,1.06,9.5,0.0,0.0,6.31,355.93,0.94,0.18,65.98,10.67,450.58
12,1.42,12.79,0.0,0.0,2.3,0.01,1.0,0.17,23.67,11.23,52.59
13,5.54,49.84,0.0,0.0,1.32,0.38,3.33,0.23,44.51,11.48,116.63
14,6.59,59.29,0.0,6.42,1.67,959.5,5.76,0.05,22.76,6.75,1068.79
16,3.59,32.34,0.0,0.58,1.08,6.44,1.95,0.01,4.32,3.63,53.95
17,11.34,102.06,0.0,0.12,3.16,77.19,7.96,0.16,15.8,14.16,231.95
18,156.99,1412.9,0.0,2.62,164.63,689.83,108.91,55.36,112.78,169.4,2873.41
19,25.21,226.88,0.0,37.54,2.17,364.19,9.53,0.21,30.04,11.43,707.19
20,77.31,695.75,0.0,0.0,2.02,57.96,25.73,0.73,51.66,17.56,928.72
