,TotN,TotN,DIN,DIN,SS,SS,TOC,TOC,TDP,TDP
,TEOTIL3,OF800,TEOTIL3,OF800,TEOTIL3,OF800,TEOTIL3,OF800,TEOTIL3,OF800
Område,,,,,,,,,,
001,1080.0,1255.0,652.0,789.0,3674.0,3447.0,8217.0,10719.0,10.0,27.0
002,17089.0,14971.0,10637.0,9906.0,168175.0,170864.0,109182.0,111023.0,138.0,259.0
003,1009.0,1019.0,701.0,658.0,3705.0,1991.0,4502.0,5129.0,9.0,12.0
004,498.0,548.0,370.0,384.0,9942.0,5074.0,1871.0,1134.0,4.0,12.0
005,343.0,334.0,242.0,221.0,1987.0,624.0,1592.0,507.0,5.0,4.0
006,600.0,489.0,422.0,308.0,2759.0,1336.0,2408.0,1257.0,13.0,7.0
007,97.0,155.0,50.0,80.0,1087.0,1192.0,1586.0,1359.0,2.0,8.0
008,172.0,157.0,108.0,100.0,2892.0,657.0,1760.0,1050.0,4.0,2.0
009,1393.0,1969.0,1001.0,1476.0,7271.0,4822.0,3243.0,4462.0,20.0,33.0
010,94.0,93.0,61.0,79.0,1173.0,367.0,845.0,506.0,1.0,3.0
011,366.0,473.0,246.0,330.0,13426.0,8219.0,2681.0,1738.0,5.0,9.0
012,5196.0,5508.0,2973.0,3763.0,26277.0,22524.0,31883.0,43652.0,43.0,43.0
013,959.0,770.0,762.0,636.0,14845.0,1509.0,2895.0,2023.0,9.0,8.0
014,1253.0,2164.0,940.0,1947.0,33726.0,23742.0,5360.0,4723.0,17.0,41.0
015,2658.0,2240.0,1595.0,1430.0,30263.0,19548.0,20586.0,18742.0,25.0,27.0
016,3596.0,3239.0,2156.0,2116.0,9185.0,7489.0,20134.0,24621.0,29.0,27.0
017,548.0,639.0,241.0,248.0,1474.0,2798.0,5582.0,9489.0,4.0,7.0
Hele Oslofjord,36950.0,36022.0,23155.0,24470.0,331860.0,276202.0,224327.0,242135.0,339.0,528.0
