,TotN,TotN,DIN,DIN,SS,SS,TOC,TOC,TDP,TDP
,TEOTIL3,OF800,TEOTIL3,OF800,TEOTIL3,OF800,TEOTIL3,OF800,TEOTIL3,OF800
Område,,,,,,,,,,
001,982.0,1147.0,566.0,709.0,1838.0,1300.0,8162.0,10661.0,9.0,25.0
002,15409.0,13366.0,9323.0,8623.0,62614.0,64416.0,107048.0,108883.0,128.0,240.0
003,789.0,807.0,542.0,506.0,2134.0,750.0,4220.0,4880.0,8.0,11.0
004,375.0,415.0,281.0,287.0,3397.0,1913.0,1684.0,984.0,4.0,10.0
005,319.0,308.0,224.0,202.0,1159.0,235.0,1510.0,457.0,5.0,3.0
006,489.0,408.0,338.0,256.0,2726.0,504.0,2292.0,1203.0,13.0,7.0
007,97.0,155.0,49.0,79.0,906.0,449.0,1585.0,1357.0,2.0,8.0
008,170.0,155.0,106.0,99.0,1979.0,248.0,1744.0,1041.0,4.0,2.0
009,909.0,1407.0,633.0,993.0,3537.0,1818.0,2107.0,3199.0,20.0,32.0
010,93.0,93.0,61.0,78.0,747.0,138.0,841.0,503.0,1.0,3.0
011,287.0,392.0,189.0,271.0,5150.0,3098.0,2359.0,1494.0,5.0,8.0
012,4696.0,4980.0,2568.0,3320.0,13149.0,8492.0,31008.0,42639.0,40.0,41.0
013,601.0,383.0,454.0,304.0,4630.0,569.0,2373.0,1535.0,9.0,7.0
014,1193.0,2079.0,894.0,1875.0,10882.0,8951.0,4818.0,4069.0,15.0,36.0
015,2273.0,1852.0,1315.0,1143.0,13141.0,7370.0,19769.0,17979.0,24.0,25.0
016,3291.0,2929.0,1935.0,1889.0,5465.0,2824.0,19530.0,23904.0,28.0,27.0
017,535.0,630.0,232.0,241.0,1232.0,1055.0,5557.0,9481.0,4.0,7.0
Hele Oslofjord,32507.0,31506.0,19710.0,20875.0,134686.0,104128.0,216605.0,234270.0,319.0,491.0
