,TotN,TotN,DIN,DIN,SS,SS,TOC,TOC,TDP,TDP
,TEOTIL3,OF800,TEOTIL3,OF800,TEOTIL3,OF800,TEOTIL3,OF800,TEOTIL3,OF800
Område,,,,,,,,,,
001,810.0,937.0,436.0,543.0,1638.0,975.0,8157.0,10657.0,8.0,21.0
002,12934.0,11191.0,7382.0,6850.0,45281.0,48355.0,106631.0,108451.0,90.0,167.0
003,629.0,644.0,421.0,386.0,1878.0,563.0,4208.0,4872.0,6.0,8.0
004,293.0,321.0,216.0,218.0,2528.0,1436.0,1679.0,980.0,3.0,7.0
005,249.0,229.0,171.0,148.0,1015.0,176.0,1500.0,452.0,4.0,2.0
006,397.0,316.0,268.0,196.0,2613.0,378.0,2232.0,1162.0,12.0,5.0
007,93.0,118.0,46.0,54.0,857.0,337.0,1584.0,1292.0,2.0,5.0
008,156.0,142.0,95.0,88.0,1795.0,186.0,1742.0,1040.0,3.0,2.0
009,700.0,1138.0,474.0,774.0,2969.0,1365.0,2000.0,3188.0,18.0,29.0
010,82.0,85.0,52.0,71.0,451.0,104.0,838.0,502.0,1.0,2.0
011,237.0,327.0,151.0,219.0,4423.0,2326.0,2338.0,1481.0,4.0,6.0
012,4152.0,4332.0,2144.0,2770.0,8918.0,6374.0,30734.0,42267.0,31.0,31.0
013,491.0,301.0,366.0,237.0,3880.0,427.0,2342.0,1510.0,7.0,6.0
014,979.0,1641.0,723.0,1471.0,9015.0,6719.0,4802.0,4050.0,12.0,27.0
015,2037.0,1654.0,1130.0,980.0,11524.0,5532.0,19703.0,17918.0,20.0,21.0
016,3076.0,2735.0,1770.0,1732.0,4999.0,2120.0,19423.0,23782.0,24.0,23.0
017,519.0,613.0,219.0,229.0,1137.0,792.0,5540.0,9460.0,4.0,6.0
Hele Oslofjord,27835.0,26724.0,16064.0,16964.0,104920.0,78165.0,215452.0,233064.0,249.0,367.0
