Vassom,Q,TotN,DIN,SS,TOC,TDP
001.,1149.9914413970946,937.2245958993317,543.2070589807189,975.490904184638,10656.800125770193,20.92164800163
002.,23673.136588110352,11191.285583409795,6850.103641120172,48354.54142117012,108450.85820133638,166.63684422422892
003.,583.1216412952423,644.4384660056095,386.365258420717,563.3384947881727,4871.98745374545,7.678692377470381
004.,120.99177027139665,320.53665568900084,217.53336258350078,1435.828655108573,980.4508973560336,6.843907593511493
005.,60.03169374847412,229.0795155974745,147.93006029677252,176.46259581322897,451.7392181526987,2.349708494964381
006.,185.74401396560668,315.8793159490828,195.54145813619905,378.00860232008677,1162.4016613782233,5.429734410526752
007.,155.0507295753479,118.30039249837678,53.90577422028788,337.38093718328815,1291.8492148949888,4.595415873990353
008.,178.7499705511093,141.78746137453086,87.87244761481689,185.89720092258872,1039.8696113280237,1.6067501037104492
009.,443.9322553676605,1138.2767600625175,773.6507531824984,1364.6331897278703,3188.115411120685,29.170154879520382
010.,92.61432932755183,84.74889703779287,71.20319264770862,103.80141723984507,502.4328366328131,2.2844134538461884
011.,248.5642233718872,327.17851638787687,218.5043792989295,2325.8897360925166,1480.976130827896,6.433083269746153
012.,11828.709241699218,4331.807401159126,2769.799179441204,6374.289659022957,42266.65383282845,31.067552373433898
013.,224.70164661827087,300.5537555085712,236.8587962879355,427.05411923076036,1509.9225674605307,5.687890817049597
014.,617.4012730081558,1640.6097691840243,1470.8760991950203,6718.968600646239,4049.9343923011033,27.004531276024064
015.,4022.187823608398,1654.3453961345922,980.4209563811575,5532.111142151174,17917.51725107895,21.078769234584268
016.,9012.396444433594,2735.0379826071157,1731.5066442360687,2119.5064592278327,23782.22783799638,22.675368380288923
017.,1676.6379914714814,613.0790800933722,229.02248474542566,791.8483453838211,9460.160707166828,5.935333257198625
