Vassom,Baseline_T-per-yr,Scenario_A_T-per-yr,Scenario_A_%_reduction,Scenario_A_reduction_T-per-yr,Scenario_B_T-per-yr,Scenario_B_%_reduction,Scenario_B_reduction_T-per-yr,Pristine_T-per-yr,Pristine_%_reduction,Pristine_reduction_T-per-yr,Vassom_name,Area_km2
001.,789.34,708.91,10.19,80.42,543.21,31.18,246.13,147.64,81.3,641.7,Tista,2495.0
002.,9905.56,8623.13,12.95,1282.43,6850.1,30.85,3055.46,1565.52,84.2,8340.04,Glomma,42446.0
003.,658.39,506.0,23.15,152.39,386.37,41.32,272.03,82.32,87.5,576.07,Mosseelva,854.0
004.,383.69,287.45,25.08,96.24,217.53,43.3,166.16,29.84,92.22,353.84,Hølenelva,204.0
005.,220.71,201.62,8.65,19.09,147.93,32.98,72.78,15.25,93.09,205.46,Årungen ,280.0
006.,308.18,255.57,17.07,52.6,195.54,36.55,112.63,16.0,94.81,292.17,Akerselva,392.0
007.,79.61,79.25,0.46,0.36,53.91,32.29,25.7,13.64,82.87,65.97,Lysakerelva,202.0
008.,100.22,98.68,1.53,1.53,87.87,12.32,12.35,20.3,79.75,79.92,Sandvikselva,279.0
009.,1475.65,992.72,32.73,482.93,773.65,47.57,702.0,69.11,95.32,1406.54,Åros,215.0
010.,78.74,78.4,0.43,0.34,71.2,9.57,7.53,29.58,62.43,49.16,Tofteelva,114.0
011.,330.02,270.85,17.93,59.17,218.5,33.79,111.51,46.83,85.81,283.19,Lierelva,360.0
012.,3763.34,3320.39,11.77,442.95,2769.8,26.4,993.54,738.43,80.38,3024.91,Drammenselva,17180.0
013.,635.84,304.27,52.15,331.58,236.86,62.75,398.99,20.29,96.81,615.56,Sandeelva,365.0
014.,1946.92,1875.15,3.69,71.76,1470.88,24.45,476.04,218.39,88.78,1728.52,Aulielva,595.0
015.,1429.71,1142.63,20.08,287.07,980.42,31.42,449.29,277.75,80.57,1151.96,Numedalslågen,6275.0
016.,2116.42,1888.73,10.76,227.69,1731.51,18.19,384.91,455.77,78.46,1660.65,Skienselva,11279.0
017.,247.84,241.49,2.56,6.35,229.02,7.59,18.82,143.87,41.95,103.97,Kammerfosselva,1580.0
Enningdalsälv,111.67,111.67,0.0,0.0,111.67,0.0,0.0,108.5,2.84,3.18,Enningdalsälv,810.0
Strömsån,14.91,14.91,0.0,0.0,14.91,0.0,0.0,14.91,0.0,0.0,Strömsån,467.0
