Vassom,Baseline_T-per-yr,Scenario_A_T-per-yr,Scenario_A_%_reduction,Scenario_A_reduction_T-per-yr,Scenario_B_T-per-yr,Scenario_B_%_reduction,Scenario_B_reduction_T-per-yr,Pristine_T-per-yr,Pristine_%_reduction,Pristine_reduction_T-per-yr,Vassom_name,Area_km2
001.,26.61,24.87,6.55,1.74,20.92,21.39,5.69,1.87,92.97,24.74,Tista,2495.0
002.,259.29,240.27,7.34,19.02,166.64,35.73,92.65,53.97,79.19,205.32,Glomma,42446.0
003.,12.0,10.83,9.75,1.17,7.68,36.02,4.32,0.92,92.35,11.08,Mosseelva,854.0
004.,11.58,9.85,14.95,1.73,6.84,40.88,4.73,0.43,96.32,11.15,Hølenelva,204.0
005.,3.93,3.45,12.12,0.48,2.35,40.14,1.58,0.06,98.4,3.86,Årungen ,280.0
006.,6.99,6.97,0.21,0.01,5.43,22.28,1.56,0.31,95.54,6.68,Akerselva,392.0
007.,7.63,7.58,0.64,0.05,4.6,39.79,3.04,0.45,94.1,7.18,Lysakerelva,202.0
008.,1.87,1.8,3.67,0.07,1.61,13.86,0.26,0.19,90.08,1.68,Sandvikselva,279.0
009.,32.81,31.59,3.71,1.22,29.17,11.1,3.64,0.82,97.49,31.99,Åros,215.0
010.,3.04,2.83,7.04,0.21,2.28,24.92,0.76,0.41,86.36,2.63,Tofteelva,114.0
011.,8.63,8.1,6.17,0.53,6.43,25.47,2.2,0.68,92.08,7.95,Lierelva,360.0
012.,43.42,41.21,5.07,2.2,31.07,28.44,12.35,11.91,72.58,31.51,Drammenselva,17180.0
013.,7.68,7.13,7.07,0.54,5.69,25.89,1.99,0.27,96.42,7.4,Sandeelva,365.0
014.,41.12,36.31,11.71,4.81,27.0,34.33,14.12,1.84,95.53,39.29,Aulielva,595.0
015.,26.88,25.32,5.81,1.56,21.08,21.58,5.8,6.66,75.23,20.22,Numedalslågen,6275.0
016.,27.35,26.53,3.0,0.82,22.68,17.1,4.68,7.94,70.98,19.41,Skienselva,11279.0
017.,6.73,6.73,0.1,0.01,5.94,11.83,0.8,3.17,52.97,3.57,Kammerfosselva,1580.0
Enningdalsälv,2.84,2.84,0.0,0.0,2.84,0.0,0.0,2.81,0.97,0.03,Enningdalsälv,810.0
Strömsån,0.94,0.94,0.0,0.0,0.94,0.0,0.0,0.94,-0.0,-0.0,Strömsån,467.0
