Vassom,Baseline_T-per-yr,Scenario_A_T-per-yr,Scenario_A_%_reduction,Scenario_A_reduction_T-per-yr,Scenario_B_T-per-yr,Scenario_B_%_reduction,Scenario_B_reduction_T-per-yr,Pristine_T-per-yr,Pristine_%_reduction,Pristine_reduction_T-per-yr,Vassom_name,Area_km2
001.,10719.25,10660.92,0.54,58.33,10656.8,0.58,62.45,9294.38,13.29,1424.87,Tista,2495.0
002.,111023.21,108883.43,1.93,2139.78,108450.86,2.32,2572.35,99896.2,10.02,11127.01,Glomma,42446.0
003.,5128.51,4879.84,4.85,248.67,4871.99,5.0,256.52,4667.15,9.0,461.36,Mosseelva,854.0
004.,1133.94,984.35,13.19,149.59,980.45,13.54,153.49,899.77,20.65,234.18,Hølenelva,204.0
005.,506.65,456.72,9.85,49.92,451.74,10.84,54.91,355.27,29.88,151.37,Årungen ,280.0
006.,1257.23,1203.03,4.31,54.21,1162.4,7.54,94.83,776.66,38.22,480.58,Akerselva,392.0
007.,1358.76,1357.38,0.1,1.38,1291.85,4.92,66.91,1191.47,12.31,167.29,Lysakerelva,202.0
008.,1050.23,1040.71,0.91,9.52,1039.87,0.99,10.36,963.36,8.27,86.88,Sandvikselva,279.0
009.,4462.31,3198.76,28.32,1263.55,3188.12,28.56,1274.19,2384.83,46.56,2077.48,Åros,215.0
010.,506.09,502.99,0.61,3.09,502.43,0.72,3.65,480.07,5.14,26.01,Tofteelva,114.0
011.,1738.25,1494.35,14.03,243.9,1480.98,14.8,257.27,1365.02,21.47,373.23,Lierelva,360.0
012.,43651.68,42639.16,2.32,1012.52,42266.65,3.17,1385.03,39283.72,10.01,4367.96,Drammenselva,17180.0
013.,2023.39,1534.89,24.14,488.5,1509.92,25.38,513.47,1285.87,36.45,737.53,Sandeelva,365.0
014.,4723.16,4069.31,13.84,653.85,4049.93,14.25,673.22,3825.97,19.0,897.18,Aulielva,595.0
015.,18742.48,17979.31,4.07,763.16,17917.52,4.4,824.96,17325.42,7.56,1417.06,Numedalslågen,6275.0
016.,24621.25,23903.87,2.91,717.38,23782.23,3.41,839.02,22531.28,8.49,2089.97,Skienselva,11279.0
017.,9488.73,9480.94,0.08,7.79,9460.16,0.3,28.57,8984.66,5.31,504.07,Kammerfosselva,1580.0
Enningdalsälv,4261.03,4261.03,-0.0,-0.0,4261.03,-0.0,-0.0,4247.02,0.33,14.0,Enningdalsälv,810.0
Strömsån,280.85,280.85,-0.0,-0.0,280.85,-0.0,-0.0,280.85,-0.0,-0.0,Strömsån,467.0
