Vassom,Baseline_T-per-yr,Scenario_A_T-per-yr,Scenario_A_%_reduction,Scenario_A_reduction_T-per-yr,Scenario_B_T-per-yr,Scenario_B_%_reduction,Scenario_B_reduction_T-per-yr,Pristine_T-per-yr,Pristine_%_reduction,Pristine_reduction_T-per-yr,Vassom_name,Area_km2
001.,1254.55,1147.3,8.55,107.25,937.22,25.29,317.33,373.62,70.22,880.93,Tista,2495.0
002.,14970.96,13366.31,10.72,1604.64,11191.29,25.25,3779.67,4477.73,70.09,10493.23,Glomma,42446.0
003.,1018.79,807.42,20.75,211.37,644.44,36.74,374.36,225.72,77.84,793.07,Mosseelva,854.0
004.,547.82,414.55,24.33,133.27,320.54,41.49,227.29,65.4,88.06,482.42,Hølenelva,204.0
005.,334.44,308.49,7.76,25.94,229.08,31.5,105.36,29.92,91.05,304.51,Årungen ,280.0
006.,488.92,408.04,16.54,80.87,315.88,35.39,173.04,44.4,90.92,444.52,Akerselva,392.0
007.,155.22,154.73,0.32,0.49,118.3,23.78,36.92,58.53,62.3,96.69,Lysakerelva,202.0
008.,156.74,154.88,1.18,1.86,141.79,9.54,14.95,54.93,64.96,101.81,Sandvikselva,279.0
009.,1968.89,1406.85,28.55,562.04,1138.28,42.19,830.62,180.72,90.82,1788.18,Åros,215.0
010.,93.09,92.69,0.43,0.4,84.75,8.96,8.34,36.68,60.6,56.42,Tofteelva,114.0
011.,473.36,392.13,17.16,81.23,327.18,30.88,146.18,110.41,76.68,362.95,Lierelva,360.0
012.,5507.66,4979.74,9.59,527.92,4331.81,21.35,1175.85,1881.78,65.83,3625.87,Drammenselva,17180.0
013.,770.11,383.15,50.25,386.95,300.55,60.97,469.55,42.55,94.48,727.56,Sandeelva,365.0
014.,2163.74,2079.06,3.91,84.68,1640.61,24.18,523.13,278.8,87.12,1884.94,Aulielva,595.0
015.,2239.8,1851.6,17.33,388.21,1654.35,26.14,585.46,792.51,64.62,1447.29,Numedalslågen,6275.0
016.,3239.03,2929.29,9.56,309.74,2735.04,15.56,503.99,1282.94,60.39,1956.09,Skienselva,11279.0
017.,638.9,630.07,1.38,8.83,613.08,4.04,25.82,493.87,22.7,145.03,Kammerfosselva,1580.0
Enningdalsälv,247.65,247.65,0.0,0.0,247.65,0.0,0.0,244.08,1.44,3.57,Enningdalsälv,810.0
Strömsån,30.33,30.33,0.0,0.0,30.33,0.0,0.0,30.33,0.0,0.0,Strömsån,467.0
